ISIN,TckrSymb,COMPANYNAME,NSE:
INE117A01022,ABB,ABB INDIA LIMITED,NSE:ABB
INE208C01025,AEGISLOG,AEGIS LOGISTICS LTD.,NSE:AEGISLOG
INE885A01032,ARE&M,Amara Raja Energy & Mobility L,NSE:ARE&M
INE432A01017,AMBALALSA,AMBALAL SARABHAI ENTERPRISES L,NSE:AMBALALSA
INE714B01016,ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,NSE:ANDHRAPET
INE436A01026,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCT,NSE:ANSALAPI
INE096A01010,UTIQUE,UTIQUE ENTERPRISES LIMITED,NSE:UTIQUE
INE957C01019,ARUNAHTEL,ARUNA HOTELS LTD.,NSE:ARUNAHTEL
INE032A01023,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,NSE:BOMDYEING
INE363A01022,ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED,NSE:ASIANHOTNR
INE100A01010,ATUL,ATUL LTD.,NSE:ATUL
INE447A01015,ATVPR,ATV PROJECTS INDIA LTD.,NSE:ATVPR
INE193E01025,BAJAJELEC,BAJAJ ELECTRICALS LTD.,NSE:BAJAJELEC
INE306A01021,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED,NSE:BAJAJHIND
INE451A01017,FORCEMOT,FORCE MOTORS LTD.,NSE:FORCEMOT
INE296A01032,BAJFINANCE,BAJAJ FINANCE LIMITED,NSE:BAJFINANCE
INE119A01028,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,NSE:BALRAMCHIN
INE213C01025,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.,NSE:BANCOINDIA
INE055A01016,ABREL,ADITYA BIRLA REAL ESTATE LIMIT,NSE:ABREL
INE459A01010,BANARISUG,BANNARI AMMAN SUGARS LTD.,NSE:BANARISUG
INE373A01013,BASF,BASF INDIA LTD.,NSE:BASF
INE176A01028,BATAINDIA,BATA INDIA LTD.,NSE:BATAINDIA
INE258A01016,BEML,BEML LTD.,NSE:BEML
INE263A01024,BEL,BHARAT ELECTRONICS LTD.,NSE:BEL
INE922A01025,BEPL,BHANSALI ENGINEERING POLYMERS,NSE:BEPL
INE819C01011,BIHSPONG,BIHAR SPONGE IRON LTD.,NSE:BIHSPONG
INE071A01013,BINANIIND,BINANI INDUSTRIES LTD.,NSE:BINANIIND
INE800A01015,BIRLACABLE,Birla Cable Limited,NSE:BIRLACABLE
INE472A01039,BLUESTARCO,BLUE STAR LTD.,NSE:BLUESTARCO
INE131C01011,DISAQ,DISA INDIA LTD.,NSE:DISAQ
INE418C01012,QUESTCAP,QUEST CAPITAL MARKETS LIMITED,NSE:QUESTCAP
INE110A01019,BPL,BPL LTD.,NSE:BPL
INE959C01023,OAL,ORIENTAL AROMATICS LIMITED,NSE:OAL
INE281A01026,CENTEXT,CENTURY EXTRUSIONS LTD.,NSE:CENTEXT
INE486A01021,CESC,CESC LTD.,NSE:CESC
INE085A01013,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICAL,NSE:CHAMBLFERT
INE302A01020,EXIDEIND,EXIDE INDUSTRIES LTD.,NSE:EXIDEIND
INE059A01026,CIPLA,CIPLA LTD.,NSE:CIPLA
INE303A01010,DICIND,DIC INDIA LTD.,NSE:DICIND
INE007A01025,CRISIL,CRISIL LTD.,NSE:CRISIL
INE067A01029,CGPOWER,CG Power and Industrial Soluti,NSE:CGPOWER
INE016A01026,DABUR,DABUR INDIA LTD.,NSE:DABUR
INE495A01022,DALMIASUG,DALMIA BHARAT SUGAR AND INDUST,NSE:DALMIASUG
INE034A01011,ARVIND,ARVIND LTD.,NSE:ARVIND
INE257A01026,BHEL,BHARAT HEAVY ELECTRICALS LTD.,NSE:BHEL
INE094A01015,HINDPETRO,HINDUSTAN PETROLEUM CORPORATIO,NSE:HINDPETRO
INE039A01010,IFCI,IFCI LTD.,NSE:IFCI
INE153A01019,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,NSE:MTNL
INE103A01014,MRPL,MANGALORE REFINERY & PETROCHEM,NSE:MRPL
INE178A01016,CHENNPETRO,CHENNAI PETROLEUM CORPORATION,NSE:CHENNPETRO
INE062A01020,SBIN,STATE BANK OF INDIA,NSE:SBIN
INE114A01011,SAIL,STEEL AUTHORITY OF INDIA LTD.,NSE:SAIL
INE280A01028,TITAN,TITAN COMPANY LIMITED,NSE:TITAN
INE008A01015,IDBI,IDBI BANK LTD.,NSE:IDBI
INE500A01029,DCW,DCW LTD.,NSE:DCW
INE041A01016,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,NSE:DHAMPURSUG
INE591D01014,DIAMINESQ,DIAMINES & CHEMICALS LTD.,NSE:DIAMINESQ
INE280B01018,ELANTAS,ELANTAS BECK INDIA LTD.,NSE:ELANTAS
INE089A01031,DRREDDY,DR.REDDYS LABORATORIES LTD.,NSE:DRREDDY
INE126A01031,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,NSE:EIDPARRY
INE199A01012,PGHL,PROCTER & GAMBLE HEALTH LIMITE,NSE:PGHL
INE086A01029,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,NSE:ELECTCAST
INE284A01012,ESABINDIA,ESAB INDIA LTD.,NSE:ESABINDIA
INE255A01020,EPL,EPL LIMITED,NSE:EPL
INE778B01029,ESTER,ESTER INDUSTRIES LTD.,NSE:ESTER
INE512A01016,FGP,FGP LTD.,NSE:FGP
INE160F01013,PHCAP,PH CAPITAL LTD.,NSE:PHCAP
INE235A01022,FINCABLES,FINOLEX CABLES LTD.,NSE:FINCABLES
INE515A01019,COCKERILL,JOHN COCKERILL INDIA LIMITED,NSE:COCKERILL
INE516A01017,UFLEX,UFLEX LTD.,NSE:UFLEX
INE519A01011,FOSECOIND,FOSECO INDIA LTD.,NSE:FOSECOIND
INE973A01010,GOLDENTOBC,GOLDEN TOBACCO LTD.,NSE:GOLDENTOBC
INE388A01029,GANESHBE,GANESH BENZOPLAST LTD.,NSE:GANESHBE
INE085D01033,METROGLOBL,METROGLOBAL LIMITED,NSE:METROGLOBL
INE043A01012,GTL,GTL LTD.,NSE:GTL
INE260B01028,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,NSE:GODFRYPHLP
INE233A01035,GODREJIND,GODREJ INDUSTRIES LTD.,NSE:GODREJIND
INE531A01024,KANSAINER,KANSAI NEROLAC PAINTS LTD.,NSE:KANSAINER
INE300A01016,GOODRICKE,GOODRICKE GROUP LTD.,NSE:GOODRICKE
INE533A01012,GOODYEAR,GOODYEAR INDIA LTD.,NSE:GOODYEAR
INE537A01013,GTNINDS,GTN INDUSTRIES LTD.,NSE:GTNINDS
INE539A01019,GHCL,GHCL LTD.,NSE:GHCL
INE538A01037,GFLLIMITED,GFL LIMITED,NSE:GFLLIMITED
INE540A01017,GLFL,GUJARAT LEASE FINANCING LTD.,NSE:GLFL
INE236A01020,HCL-INSYS,HCL INFOSYSTEMS LTD.,NSE:HCL-INSYS
INE040A01034,HDFCBANK,HDFC BANK LTD.,NSE:HDFCBANK
INE158A01026,HEROMOTOCO,HERO MOTOCORP LTD.,NSE:HEROMOTOCO
INE548A01028,HFCL,HFCL LIMITED,NSE:HFCL
INE019C01026,HSCL,Himadri Speciality Chemical Lt,NSE:HSCL
INE549A01026,HCC,HINDUSTAN CONSTRUCTION CO.LTD.,NSE:HCC
INE345A01011,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.L,NSE:HINDOILEXP
INE415A01038,AGI,AGI GREENPAC LIMITED,NSE:AGI
INE267A01025,HINDZINC,HINDUSTAN ZINC LTD.,NSE:HINDZINC
INE353A01023,NDLVENTURE,NDL Ventures Limited,NSE:NDLVENTURE
INE262A01018,HMT,HMT LTD.,NSE:HMT
INE962B01011,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,NSE:PRAGBOS
INE102A01024,HLVLTD,HLV LIMITED,NSE:HLVLTD
INE204A01010,IGPL,I G PETROCHEMICALS LTD.,NSE:IGPL
INE560A01015,INDIAGLYCO,INDIA GLYCOLS LTD.,NSE:INDIAGLYCO
INE333C01013,INDLEASE,INDIA LEASE DEVELOPMENT LTD.,NSE:INDLEASE
INE680B01019,MARGOFIN,MARGO FINANCE LIMITED,NSE:MARGOFIN
INE156A01020,INDORAMA,INDO RAMA SYNTHETICS (INDIA) L,NSE:INDORAMA
INE009A01021,INFY,INFOSYS LTD.,NSE:INFY
INE177A01018,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,NSE:INGERRAND
INE262B01016,ITHL,INTERNATIONAL TRAVEL HOUSE LTD,NSE:ITHL
INE570A01022,IONEXCHANG,ION EXCHANGE (INDIA) LTD.,NSE:IONEXCHANG
INE209A01019,SUNDROP,SUNDROP BRANDS LIMITED,NSE:SUNDROP
INE175A01038,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,NSE:JISLJALEQS
INE711C01028,JASCH,JASCH INDUSTRIES LTD.,NSE:JASCH
INE197D01010,JINDALPOLY,JINDAL POLY FILMS LTD.,NSE:JINDALPOLY
INE019A01038,JSWSTEEL,JSW STEEL LTD.,NSE:JSWSTEEL
INE864B01027,UMANGDAIRY,UMANG DAIRIES LTD.,NSE:UMANGDAIRY
INE217B01036,KAJARIACER,KAJARIA CERAMICS LTD.,NSE:KAJARIACER
INE437B01014,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUST,NSE:KAKATCEM
INE907A01026,KSL,KALYANI STEELS LTD.,NSE:KSL
INE716A01013,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,NSE:WHIRLPOOL
INE104A01012,KGDENIM,KG DENIM LTD.,NSE:KGDENIM
INE266B01017,KINETICENG,KINETIC ENGINEERING LTD.,NSE:KINETICENG
INE732A01036,KIRLOSBROS,KIRLOSKAR BROTHERS LTD.,NSE:KIRLOSBROS
INE250A01039,KIRLOSIND,KIRLOSKAR INDUSTRIES LTD,NSE:KIRLOSIND
INE884B01025,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES L,NSE:KIRLFER
INE601C01013,ENVAIREL,ENVAIR ELECTRODYNE LTD.,NSE:ENVAIREL
INE237A01028,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,NSE:KOTAKBANK
INE999A01023,KSB,KSB LIMITED,NSE:KSB
INE337A01034,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,NSE:LGBBROSLTD
INE849A01020,TRENT,TRENT LTD.,NSE:TRENT
INE269B01029,LMW,LMW Limited,NSE:LMW
INE115A01026,LICHSGFIN,LIC HOUSING FINANCE LTD.,NSE:LICHSGFIN
INE326A01037,LUPIN,LUPIN LTD.,NSE:LUPIN
INE933A01014,LYKALABS,LYKA LABS LTD.,NSE:LYKALABS
INE331A01037,RAMCOCEM,THE RAMCO CEMENTS LIMITED,NSE:RAMCOCEM
INE965B01022,HYBRIDFIN,HYBRID FINANCIAL SERVICES LIMI,NSE:HYBRIDFIN
INE270B01035,MAFATIND,MAFATLAL INDUSTRIES LTD.,NSE:MAFATIND
INE271B01025,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,NSE:MAHSEAMLES
INE288A01013,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,NSE:MAHSCOOTER
INE201B01022,MAJESAUT,MAJESTIC AUTO LTD.,NSE:MAJESAUT
INE201A01024,MANALIPETC,MANALI PETROCHEMICAL LTD.,NSE:MANALIPETC
INE461A01024,BARODARY,BARODA RAYON CORPORATION LTD.,NSE:BARODARY
INE180A01020,MFSL,Max Financial Services Limited,NSE:MFSL
INE401C01018,MIDINDIA,MID INDIA INDUSTRIES LTD.,NSE:MIDINDIA
INE831A01028,MIRCELECTR,MIRC ELECTRONICS LTD.,NSE:MIRCELECTR
INE485A01015,CENTENKA,CENTURY ENKA LTD.,NSE:CENTENKA
INE794W01014,MODTHREAD,MODERN THREADS (INDIA) LTD.,NSE:MODTHREAD
INE846D01012,LORDSCHLO,LORDS CHLORO ALKALI LTD.,NSE:LORDSCHLO
INE285B01017,SPICEJET,SPICEJET LTD.,NSE:SPICEJET
INE083A01026,MOREPENLAB,MOREPEN LABORATORIES LTD.,NSE:MOREPENLAB
INE883A01011,MRF,MRF LTD.,NSE:MRF
INE578A01017,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,NSE:HEIDELBERG
INE868B01028,NCC,NCC LIMITED,NSE:NCC
INE205A01025,VEDL,VEDANTA LIMITED,NSE:VEDL
INE290A01027,NAHARSPING,NAHAR SPINNING MILLS LTD.,NSE:NAHARSPING
INE585A01020,NAPEROL,Naperol Investments Limited,NSE:NAPEROL
INE047A01021,GRASIM,GRASIM INDUSTRIES LTD.,NSE:GRASIM
INE140A01024,PEL,PIRAMAL ENTERPRISES LTD.,NSE:PEL
INE161A01038,NIITLTD,NIIT LTD.,NSE:NIITLTD
INE903A01025,JAYKAY,Jaykay Enterprises Limited,NSE:JAYKAY
INE910A01012,NIRLON,NIRLON LTD.,NSE:NIRLON
INE213A01029,ONGC,OIL AND NATURAL GAS CORPORATIO,NSE:ONGC
INE591A01010,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,NSE:OILCOUNTUB
INE750A01020,ORIENTHOT,ORIENTAL HOTELS LTD.,NSE:ORIENTHOT
INE142A01012,OSWALAGRO,OSWAL AGRO MILLS LTD.,NSE:OSWALAGRO
INE557C01017,INDSUCR,INDIAN SUCROSE LTD.,NSE:INDSUCR
INE167E01037,PANCM,PANYAM CEMENTS & MINERAL INDUS,NSE:PANCM
INE002A01018,RELIANCE,RELIANCE INDUSTRIES LTD.,NSE:RELIANCE
INE600A01035,PILITA,Pil Italica Lifestyle Limited,NSE:PILITA
INE301A01014,RAYMOND,RAYMOND LTD.,NSE:RAYMOND
INE318A01026,PIDILITIND,PIDILITE INDUSTRIES LTD.,NSE:PIDILITIND
INE751B01018,PIXTRANS,PIX TRANSMISSIONS LTD.,NSE:PIXTRANS
INE340A01012,BIRLACORPN,BIRLA CORPORATION LTD.,NSE:BIRLACORPN
INE335A01020,SURYAROSNI,SURYA ROSHNI LTD.,NSE:SURYAROSNI
INE032B01021,PRIMESECU,PRIME SECURITIES LTD.,NSE:PRIMESECU
INE010A01011,PRSMJOHNSN,PRISM JOHNSON LIMITED.,NSE:PRSMJOHNSN
INE855B01025,RAIN,RAIN INDUSTRIES LIMITED,NSE:RAIN
INE024D01016,PRUDMOULI,PRUDENTIAL SUGAR CORPORATION L,NSE:PRUDMOULI
INE606A01024,AMJLAND,AMJ LAND HOLDINGS LIMITED,NSE:AMJLAND
INE609A01010,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.,NSE:PUNJCOMMU
INE611A01016,RSWM,RSWM LTD.,NSE:RSWM
INE562B01019,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LT,NSE:RAJSREESUG
INE613A01020,RALLIS,RALLIS INDIA LTD.,NSE:RALLIS
INE278B01020,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,NSE:RAMANEWS
INE425E01013,RAMAPPR-B,RAMA PAPER MILLS LTD.,NSE:RAMAPPR-B
INE350D01015,RAPICUT,RAPICUT CARBIDES LTD.,NSE:RAPICUT
INE731F01037,WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LI,NSE:WELSPLSOL
INE642C01025,RUBFILA,RUBFILA INTERNATIONAL LTD.,NSE:RUBFILA
INE619A01035,PATANJALI,Patanjali Foods Limited,NSE:PATANJALI
INE924A01013,SALORAINTL,SALORA INTERNATIONAL LTD.,NSE:SALORAINTL
INE324A01032,JINDALSAW,JINDAL SAW LTD.,NSE:JINDALSAW
INE786A01032,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,NSE:JKLAKSHMI
INE070A01015,SHREECEM,SHREE CEMENT LTD.,NSE:SHREECEM
INE970C01012,SKPMIL,SHREE KRISHNA PAPER MILLS & IN,NSE:SKPMIL
INE368A01021,SILVERLINE,SILVERLINE TECHNOLOGIES LTD.,NSE:SILVERLINE
INE036A01016,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,NSE:RELINFRA
INE245A01021,TATAPOWER,TATA POWER CO.LTD.,NSE:TATAPOWER
INE937A01023,SPMLINFRA,SPML INFRA LIMITED,NSE:SPMLINFRA
INE387A01021,SUNDRMFAST,SUNDRAM FASTENERS LTD.,NSE:SUNDRMFAST
INE947A01014,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,NSE:SUNFLAG
INE663A01033,SPLPETRO,SUPREME PETROCHEM LTD.,NSE:SPLPETRO
INE277A01016,SWARAJENG,SWARAJ ENGINES LTD.,NSE:SWARAJENG
INE670A01012,TATAELXSI,TATA ELXSI LTD.,NSE:TATAELXSI
INE012A01025,ACC,ACC LTD.,NSE:ACC
INE152A01029,THERMAX,THERMAX LTD.,NSE:THERMAX
INE338A01024,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,NSE:TIRUMALCHM
INE332A01027,THOMASCOOK,THOMAS COOK (INDIA) LTD.,NSE:THOMASCOOK
INE064A01026,TIMEX,TIMEX GROUP INDIA LTD.,NSE:TIMEX
INE932C01012,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,NSE:TOKYOPLAST
INE685A01028,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,NSE:TORNTPHARM
INE578C01021,TPINDIA,TPI INDIA LTD.,NSE:TPINDIA
INE019B01010,TRANSCHEM,TRANSCHEM LTD.,NSE:TRANSCHEM
INE079A01024,AMBUJACEM,AMBUJA CEMENTS LTD.,NSE:AMBUJACEM
INE184E01024,UTLINDS,UTL INDUSTRIES LIMITED,NSE:UTLINDS
INE037A01022,UNIENTER,UNIPHOS ENTERPRISES LTD.,NSE:UNIENTER
INE701A01023,VHL,VARDHMAN HOLDINGS LTD.,NSE:VHL
INE038A01020,HINDALCO,HINDALCO INDUSTRIES LTD.,NSE:HINDALCO
INE976A01021,WSTCSTPAPR,West Coast Paper Mills Limited,NSE:WSTCSTPAPR
INE048A01011,HOCL,HINDUSTAN ORGANIC CHEMICALS LT,NSE:HOCL
INE844C01027,MPILCORPL,MPIL CORPORATION LTD.,NSE:MPILCORPL
INE818B01023,PASUPTAC,PASUPATI ACRYLON LTD.,NSE:PASUPTAC
INE601A01017,KORE,Kore Foods Limited,NSE:KORE
INE179A01014,PGHH,PROCTER & GAMBLE HYGIENE & HEA,NSE:PGHH
INE304A01026,MUKANDLTD,MUKAND LTD.,NSE:MUKANDLTD
INE676A01027,BBOX,BLACK BOX LIMITED,NSE:BBOX
INE139B01016,UCAL,UCAL LIMITED,NSE:UCAL
INE544A01019,HARRMALAYA,HARRISONS MALAYALAM LTD.,NSE:HARRMALAYA
INE171A01029,FEDERALBNK,FEDERAL BANK LTD.,NSE:FEDERALBNK
INE081A01020,TATASTEEL,TATA STEEL LTD.,NSE:TATASTEEL
INE640A01023,SKFINDIA,SKF INDIA LTD.,NSE:SKFINDIA
INE208A01029,ASHOKLEY,ASHOK LEYLAND LTD.,NSE:ASHOKLEY
INE298A01020,CUMMINSIND,CUMMINS INDIA LTD.,NSE:CUMMINSIND
INE151A01013,TATACOMM,TATA COMMUNICATIONS LTD.,NSE:TATACOMM
INE358A01014,ABBOTINDIA,ABBOTT INDIA LTD.,NSE:ABBOTINDIA
INE118A01012,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LT,NSE:BAJAJHLDNG
INE465A01025,BHARATFORG,BHARAT FORGE LTD.,NSE:BHARATFORG
INE042A01014,ESCORTS,Escorts Kubota Limited,NSE:ESCORTS
INE253A01025,HINDMOTORS,HINDUSTAN MOTORS LTD.,NSE:HINDMOTORS
INE018A01030,LT,LARSEN & TOUBRO LTD.,NSE:LT
INE101A01026,M&M,MAHINDRA & MAHINDRA LTD.,NSE:M&M
INE323A01026,BOSCHLTD,BOSCH LTD.,NSE:BOSCHLTD
INE342A01018,PREMIER,PREMIER LTD.,NSE:PREMIER
INE029A01011,BPCL,BHARAT PETROLEUM CORPORATION L,NSE:BPCL
INE003A01024,SIEMENS,SIEMENS LTD.,NSE:SIEMENS
INE155A01022,TATAMOTORS,TATA MOTORS LTD.,NSE:TATAMOTORS
INE226A01021,VOLTAS,VOLTAS LTD.,NSE:VOLTAS
INE017A01032,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,NSE:GESHIP
INE501A01019,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEM,NSE:DEEPAKFERT
INE369A01029,EXCELINDUS,EXCEL INDUSTRIES LTD.,NSE:EXCELINDUS
INE291A01017,GRWRHITECH,GARWARE HI-TECH FILMS LIMITED,NSE:GRWRHITECH
INE159A01016,GLAXO,GLAXOSMITHKLINE PHARMACEUTICAL,NSE:GLAXO
INE113A01013,GNFC,GUJARAT NARMADA VALLEY FERTILI,NSE:GNFC
INE234A01025,NOVARTIND,NOVARTIS INDIA LTD.,NSE:NOVARTIND
INE058A01010,SANOFI,SANOFI INDIA LTD,NSE:SANOFI
INE182A01018,PFIZER,PFIZER LTD.,NSE:PFIZER
INE026A01025,GSFC,GUJARAT STATE FERTILIZERS & CH,NSE:GSFC
INE030A01027,HINDUNILVR,HINDUSTAN UNILEVER LTD.,NSE:HINDUNILVR
INE133A01011,AKZOINDIA,AKZO NOBEL INDIA LIMITED,NSE:AKZOINDIA
INE163A01018,NOCIL,NOCIL LTD.,NSE:NOCIL
INE092A01019,TATACHEM,TATA CHEMICALS LTD.,NSE:TATACHEM
INE148A01019,TNPETRO,TAMILNADU PETROPRODUCTS LTD.,NSE:TNPETRO
INE217A01012,ZUARIIND,Zuari Industries Limited,NSE:ZUARIIND
INE239A01024,NESTLEIND,NESTLE INDIA LTD.,NSE:NESTLEIND
INE192A01025,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,NSE:TATACONSUM
INE021A01026,ASIANPAINT,ASIAN PAINTS LTD.,NSE:ASIANPAINT
INE216A01030,BRITANNIA,BRITANNIA INDUSTRIES LTD.,NSE:BRITANNIA
INE259A01022,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,NSE:COLPAL
INE230A01023,EIHOTEL,EIH LTD.,NSE:EIHOTEL
INE053A01029,INDHOTEL,INDIAN HOTELS CO.LTD.,NSE:INDHOTEL
INE172A01027,CASTROLIND,CASTROL INDIA LTD.,NSE:CASTROLIND
INE154A01025,ITC,ITC LTD.,NSE:ITC
INE438A01022,APOLLOTYRE,APOLLO TYRES LTD.,NSE:APOLLOTYRE
INE482A01020,CEATLTD,CEAT LTD.,NSE:CEATLTD
INE832A01018,MODIRUBBER,MODI RUBBER LTD.,NSE:MODIRUBBER
INE183A01024,FINPIPE,FINOLEX INDUSTRIES LTD.,NSE:FINPIPE
INE422D01012,DSINVEST,DALAL STREET INVESTMENTS LTD.,NSE:DSINVEST
INE660C01027,CENTRUM,CENTRUM CAPITAL LTD.,NSE:CENTRUM
INE911B01018,TCIFINANCE,TCI FINANCE LTD.,NSE:TCIFINANCE
INE886A01014,IITL,INDUSTRIAL INVESTMENT TRUST LT,NSE:IITL
INE620D01011,INDPRUD,INDUSTRIAL & PRUDENTIAL INVEST,NSE:INDPRUD
INE672A01018,TATAINVEST,TATA INVESTMENT CORPORATION LT,NSE:TATAINVEST
INE998D01011,JAYBHCR,JAYABHARAT CREDIT LTD.,NSE:JAYBHCR
INE286N01028,PRISMX,PRISMX GLOBAL VENTURES LIMITED,NSE:PRISMX
INE861B01023,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,NSE:MOTOGENFIN
INE154M01012,RAPIDIN,RAPID INVESTMENTS LTD.,NSE:RAPIDIN
INE695D01021,WALCHPF,WALCHAND PEOPLEFIRST LTD.,NSE:WALCHPF
INE855A01019,WHBRADY,W.H.BRADY & CO.LTD.,NSE:WHBRADY
INE314H01012,TECHNVISN,TechNVision Ventures Limited,NSE:TECHNVISN
INE151G01028,SHAILY,SHAILY ENGINEERING PLASTICS LT,NSE:SHAILY
INE050A01025,BBTC,BOMBAY BURMAH TRADING CORP.LTD,NSE:BBTC
INE691K01017,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LT,NSE:BOMBCYC
INE224A01026,GREAVESCOT,GREAVES COTTON LTD.,NSE:GREAVESCOT
INE003F01015,MULLER,MULLER & PHIPPS (INDIA) LTD.,NSE:MULLER
INE131H01028,INDIANVSH,INDIANIVESH LTD.,NSE:INDIANVSH
INE377E01024,COASTCORP,COASTAL CORPORATION LTD.,NSE:COASTCORP
INE490A01015,CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.,NSE:CHOWGULSTM
INE446C01013,GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.,NSE:GLOBOFFS
INE443A01030,ASIIL,ASI INDUSTRIES LIMITED,NSE:ASIIL
INE229C01021,SAGCEM,SAGAR CEMENTS LTD.,NSE:SAGCEM
INE07BK01011,HEMACEM,HEMADRI CEMENTS LTD.,NSE:HEMACEM
INE583C01021,DECCANCE,DECCAN CEMENTS LTD.,NSE:DECCANCE
INE347A01017,MANGLMCEM,MANGALAM CEMENT LTD.,NSE:MANGLMCEM
INE732C01016,NCLIND,NCL INDUSTRIES LTD.,NSE:NCLIND
INE626A01014,SAURASHCEM,SAURASHTRA CEMENT LTD.,NSE:SAURASHCEM
INE232A01011,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.,NSE:SHREDIGCEM
INE666D01022,BORORENEW,BOROSIL RENEWABLES LIMITED,NSE:BORORENEW
INE094C01011,TRIVENIGQ,TRIVENI GLASS LTD.,NSE:TRIVENIGQ
INE416N01013,NILACHAL,NILACHAL REFRACTORIES LTD.,NSE:NILACHAL
INE435A01051,ANDHRAPAP,ANDHRA PAPER LIMITED,NSE:ANDHRAPAP
INE787D01026,BALKRISIND,BALKRISHNA INDUSTRIES LTD.,NSE:BALKRISIND
INE592A01026,ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.,NSE:ORIENTPPR
INE906D01014,CITADEL,CITADEL REALTY AND DEVELOPERS,NSE:CITADEL
INE927A01040,ROLLT,ROLLATAINERS LTD.,NSE:ROLLT
INE630A01024,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,NSE:SESHAPAPER
INE777A01023,NATHIND,NATH INDUSTRIES LIMITED,NSE:NATHIND
INE464D01014,VAPIENTER,VAPI ENTERPRISE LIMITED,NSE:VAPIENTER
INE498A01018,DCM,DCM LTD.,NSE:DCM
INE518A01013,FORBESCO,FORBES & COMPANY LTD.,NSE:FORBESCO
INE950C01014,HPCOTTON,H.P.COTTON TEXTILE MILLS LTD.,NSE:HPCOTTON
INE706D01018,UNITEDINT,UNITED INTERACTIVE LTD.,NSE:UNITEDINT
INE462D01034,JAMSHRI,JAMSHRI REALTY LIMITED,NSE:JAMSHRI
INE498G01015,KATRSPG,KATARE SPINNING MILLS LTD.,NSE:KATRSPG
INE087A01019,KESORAMIND,KESORAM INDUSTRIES LTD.,NSE:KESORAMIND
INE938C01019,LAKSHMIMIL,LAKSHMI MILLS COMPANY LTD.,NSE:LAKSHMIMIL
INE825A01020,VTL,VARDHMAN TEXTILES LTD.,NSE:VTL
INE138A01028,PENINLAND,PENINSULA LAND LTD.,NSE:PENINLAND
INE909B01020,PASUSPG,PASUPATI SPG.& WVG.MILLS LTD.,NSE:PASUSPG
INE211B01039,PHOENIXLTD,THE PHOENIX MILLS LTD,NSE:PHOENIXLTD
INE182D01020,MARATHON,MARATHON NEXTGEN REALTY LTD.,NSE:MARATHON
INE491N01016,RAJABAH,RAJA BAHADUR INTERNATIONAL LTD,NSE:RAJABAH
INE750D01016,RELCHEMQ,RELIANCE CHEMOTEX INDUSTRIES L,NSE:RELCHEMQ
INE301D01026,RUBYMILLS,RUBY MILLS LTD.,NSE:RUBYMILLS
