ISIN,TckrSymb,COMPANYNAME,NSE:
INE461C01038,GREENPLY,GREENPLY INDUSTRIES LTD.,NSE:GREENPLY
INE497B01018,SEAMECLTD,SEAMEC LTD.,NSE:SEAMECLTD
INE753B01014,RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.,NSE:RAGHUNAT
INE974B01016,CHEVIOT,CHEVIOT CO.LTD.,NSE:CHEVIOT
INE928C01010,DAICHI,DAI-ICHI KARKARIA LTD.,NSE:DAICHI
INE882D01017,SPICEISLIN,SPICE ISLANDS INDUSTRIES LIMIT,NSE:SPICEISLIN
INE552D01024,CONFIPET,CONFIDENCE PETROLEUM INDIA LTD,NSE:CONFIPET
INE413C01013,SIPL,SHELTER INFRA PROJECTS LTD.,NSE:SIPL
INE794C01016,SHAKTIPR,SHAKTI PRESS LTD.,NSE:SHAKTIPR
INE338C01012,ASHSI,ASHIRWAD STEELS & INDUSTRIES L,NSE:ASHSI
INE655B01011,BANARBEADS,BANARAS BEADS LTD.,NSE:BANARBEADS
INE480H01011,AREXMIS,AREX INDUSTRIES LTD.,NSE:AREXMIS
INE986A01012,BI,BILCARE LTD.,NSE:BI
INE973B01026,ISFL,ISF LIMITED,NSE:ISFL
INE988D01012,RISHILASE,RISHI LASER LTD.,NSE:RISHILASE
INE966C01010,JAINCO,JAINCO PROJECTS (INDIA) LTD.,NSE:JAINCO
INE795E01019,KUMPFIN,KUMBHAT FINANCIAL SERVICES LTD,NSE:KUMPFIN
INE017E01018,INTECCAP,INTEC CAPITAL LTD.,NSE:INTECCAP
INE184D01026,RAJGASES,RAJASTHAN GASES LTD.,NSE:RAJGASES
INE111B01023,63MOONS,63 Moons Technologies Limited,NSE:63MOONS
INE453D01025,SARLAPOLY,SARLA PERFORMANCE FIBERS LTD.,NSE:SARLAPOLY
INE944C01017,MKTCREAT,MARKET CREATORS LTD.,NSE:MKTCREAT
INE552B01010,HFIL,HIMALAYA FOOD INTERNATIONAL LI,NSE:HFIL
INE344I01017,SONALAD,SONAL ADHESIVES LTD.,NSE:SONALAD
INE743D01011,PADMAIND,Padmanabh Industries Ltd,NSE:PADMAIND
INE253B01015,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT,NSE:21STCENMGM
INE400G01011,HRYNSHP,HARIYANA SHIP BREAKERS LTD.,NSE:HRYNSHP
INE377D01018,ARUNIS,ARUNIS ABODE LIMITED,NSE:ARUNIS
INE945B01016,TYROON,TYROON TEA CO.LTD.,NSE:TYROON
INE059D01020,LAOPALA,LA OPALA RG LTD.,NSE:LAOPALA
INE239C01020,STYLAMIND,STYLAM INDUSTRIES LIMITED,NSE:STYLAMIND
INE411B01019,VENUSREM,VENUS REMEDIES LTD.,NSE:VENUSREM
INE404B01022,LASTMILE,LAST MILE ENTERPRISES LIMITED,NSE:LASTMILE
INE372D01019,GUJCRAFT,GUJARAT CRAFT INDUSTRIES LTD.,NSE:GUJCRAFT
INE025D01013,HEERAISP,HEERA ISPAT LTD.,NSE:HEERAISP
INE313G01016,DHOOTIN,DHOOT INDUSTRIAL FINANCE LTD.,NSE:DHOOTIN
INE402H01015,SHBAJRG,SHRI BAJRANG ALLIANCE LIMITED,NSE:SHBAJRG
INE550C01020,URJA,URJA GLOBAL LTD.,NSE:URJA
INE348A01023,ASHAPURMIN,ASHAPURA MINECHEM LTD.,NSE:ASHAPURMIN
INE847D01010,SHREEPAC,SHREE PACETRONIX LTD.,NSE:SHREEPAC
INE186A01019,GUJALKALI,GUJARAT ALKALIES & CHEMICALS L,NSE:GUJALKALI
INE383A01012,INDIACEM,INDIA CEMENTS LTD.,NSE:INDIACEM
INE573A01042,JKTYRE,JK TYRE & INDUSTRIES LTD.,NSE:JKTYRE
INE558B01017,MANGCHEFER,MANGALORE CHEMICALS & FERTILIZ,NSE:MANGCHEFER
